name,ingredients,preparation,garnish,url
Spritz,90 ml Prosecco; 60 ml Aperol; Splash of Soda water,"Build all ingredients into a wine glass filled with ice.
Stir gently.
NOTE:There are other versions of the Spritz that use Campari, Cynar or Select instead of Aperol.",Garnish with a slice of orange.,https://iba-world.com/iba-cocktail/spritz/
Whiskey Sour,45 ml Bourbon Whiskey; 25 ml Fresh Lemon Juice; 20 ml Sugar Syrup; Few Drops of Egg White (Optional),"Pour all ingredients into cocktail shaker filled with ice. Shake well.
Strain into cobbler glass. If served “On the rocks”, strain ingredients
into old fashioned glass filled with ice.
NOTE:If egg white is used shake little harder to release and incorporate the foam from the egg white.","Garnish with half orange slice and maraschino cherry, optionally use orange zest.",https://iba-world.com/iba-cocktail/whiskey-sour/
Sex on the Beach,40 ml Vodka; 20 ml Peach Schnapps; 40 ml Fresh Orange Juice; 40 ml Cranberry Juice,Build all ingredients in a highball glass filled with ice.,Garnish with half orange slice.,https://iba-world.com/iba-cocktail/sex-on-the-beach/
Long Island Iced Tea,15 ml Vodka; 15 ml Tequila; 15 ml White rum; 15 ml Gin; 15 ml Cointreau; 25 ml Lemon juice; 30 ml Simple syrup; Top with Cola,"Add all ingredients into highball glass filled with ice.
Stir gently.",Garnish with lemon slice (Optional).,https://iba-world.com/iba-cocktail/long-island-iced-tea/
White Lady,40 ml Gin; 30 ml Triple Sec; 20 ml Fresh Lemon Juice,"Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",N/A,https://iba-world.com/iba-cocktail/white-lady/
Pisco Sour,60 ml Pisco; 30 ml Fresh Lemon Juice; 20 ml Simple Syrup; 1 Raw whole Egg White,"Add all ingredients into a shaker with ice.
Shake and strain into a chilled goblet glass.",Few dashes of Amargo bitters on top as an aromatic garnish.,https://iba-world.com/iba-cocktail/pisco-sour/
Ramos Fizz,45 ml Gin; 15 ml Fresh Lime Juice; 15 ml Fresh Lemon Juice; 30 ml Sugar Syrup; 60 ml Cream; 30ml Egg white; 3 Dashes Orange Flower Water; 2 Drops Vanilla Extract; Soda Water,"Pour all ingredients except soda water in a cocktail shaker with ice.
Shake for two minutes, double strain in a glass, pour the drink back in the shaker and hard shake without ice for one minute.
Strain into a highball glass, top up with soda.
NOTE:The drink was invented by Henry Ramos in 1888, at his bar Meyer’s Table d’Hôtel Internationale in New Orleans.The Ramos Fizz was originally shaken for 12 minutes by a crew of 30 bartenders who passed the shaker from one to another.",N/A,https://iba-world.com/iba-cocktail/ramos-fizz/
Angel Face,30 ml Gin; 30 ml Apricot Brandy; 30 ml Calvados,"Pour all ingredients into cocktail shaker filled with ice cubes.
Shake and strain into a chilled cocktail glass.",N/A,https://iba-world.com/iba-cocktail/angel-face/
John Collins,45 ml Gin; 30 ml Fresh Lemon Juice; 15 ml Simple Syrup; 60 ml  Soda Water,"Pour all ingredients directly into highball filled with ice. Stir gently.
NOTE:Use ‘Old Tom’ Gin for Tom Collins.",Garnish with lemon slice and maraschino cherry.,https://iba-world.com/iba-cocktail/john-collins/
Irish Coffee,50 ml Irish Whiskey; 120 ml Hot coffee; 50 ml Fresh cream (Chilled); 1 teaspoon Sugar,"Warm black coffee is poured into a preheated Irish coffee glass.
Whiskey and at least one teaspoon of sugar is added and stirred until dissolved.
Fresh thick chilled cream is carefully poured over the back of a spoon held just above the surface of the coffee.
The layer of cream will float on the coffee without mixing.
Plain sugar can be replaced with sugar syrup",N/A,https://iba-world.com/iba-cocktail/irish-coffee/
Grand Margarita,45 ml Tequila 100% agave; 30 ml  Grand Marnier; 15 ml Fresh Lime Juice,"Rim the rock glass with good quality sea salt. Pour the ingredients into the  shaker.
Add ice to both glass and shaker.
Shake hard for 10 seconds. Strain the drink into the glass.",Garnish with a lime slice.,https://iba-world.com/iba-cocktail/grand-margarita/
Gin Basil Smash,60ml Gin; 22.5 ml Freshly Squeezed Lemon Juice; 22.5 ml Sugar Syrup; 10 pcs Italian Basil leaves,"Add all ingredients into shaker with ice.
Shake vigorously and pour into chilled cocktail glass.",N/A,https://iba-world.com/iba-cocktail/gin-basil-smash/
New York Sour,60 ml Rye Whiskey or Bourbon; 22.5 ml Simple syrup; 30 ml Fresh lemon juice; Few Drops of Egg White; 15 ml Red wine (Shiraz or Malbech),"Pour all ingredients into the shaker. Shake vigorously with ice.
Strain into a chilled rocks glass filled with ice. Float the wine on top.",Garnish with lemon or orange zest with cherry.,https://iba-world.com/iba-cocktail/new-york-sour/
Sea Breeze,40 ml Vodka; 120 ml Cranberry Juice; 30 ml Grapefruit Juice,Build all ingredients in a highball glass filled with ice.,Garnish with an orange zest and cherry.,https://iba-world.com/iba-cocktail/sea-breeze/
Missionary’s Downfall,30 ml White rum; 15 ml Peach Brandy; 15 ml Fresh lime juice; 30 ml Honey Mix; 10 pcs Mint Leaves; 3 to 4 pcs Pineapple Chunks,"Blend all the ingredients with half cup of crushed ice.
Serve it in a Coppa grande.",Garnish with mint sprig and a slice of pineapple.,https://iba-world.com/iba-cocktail/missionarys-downfall/
Martinez,45 ml London Dry Gin; 45 ml Sweet Red Vermouth; 1 Bar Spoon MaraschinoLuxardo; 2 Dashes Orange Bitters,"Pour all ingredients into mixing glass with ice cubes.
Stir well. Strain into chilled cocktail glass.",Lemon zest.,https://iba-world.com/iba-cocktail/martinez/
Tommy’s Margarita,60 ml Tequila 100% agave; 30 ml Fresh Lime Juice; 30 ml Agave Nectar,"Pour all ingredients into a cocktail shaker, shake well with ice, strain into chilled rocks glass filled with ice.",Garnish with a lime slice.,https://iba-world.com/iba-cocktail/tommys-margarita/
Spicy Fifty,50 ml Vodka Vanilla; 15 ml Elderflower Cordial; 15 ml Fresh Lime Juice; 10 ml Monin Honey Syrup; 2 thin Slices Red Chili Pepper,"Pour all ingredients into a cocktail shaker, shake well with ice, double-strain into chilled cocktail glass.",Garnish with a red chili pepper.,https://iba-world.com/iba-cocktail/spicy-fifty/
Moscow Mule,45 ml Smirnoff Vodka; 120 ml Ginger Beer; 10 ml Fresh lime juice,"In an Mule Cup or rocks glass, combine the vodka and ginger beer.
Add lime juice and gently stir to involve all ingredients.",Garnish with a lime slice.,https://iba-world.com/iba-cocktail/moscow-mule/
French Martini,45 ml Vodka; 15 ml Raspberry Liqueur; 15 ml Fresh Pineapple Juice,"Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",Squeeze oil from lemon peel onto the drink.,https://iba-world.com/iba-cocktail/french-martini/
Rusty Nail,45 ml Scotch Whisky; 25 ml Drambuie,"Pour all ingredients directly into an old fashioned glass filled with ice.
Stir gently.",Garnish with lemon zest.,https://iba-world.com/iba-cocktail/rusty-nail/
Horse’s Neck,40 ml Cognac; 120 ml Ginger Ale; Dash of Angostura Bitters (optional),"Pour Cognac and ginger ale directly into highball glass with ice cubes.
Stir gently.
If preferred, add dashes of Angostura Bitter.",Garnish with rind of one lemon spiral.,https://iba-world.com/iba-cocktail/horses-neck/
Vesper,45 ml Gin; 15 ml Vodka; 7.5 ml Lillet Blanc,"Pour all ingredients into cocktail shaker filled with ice cubes.
Shake and strain into a chilled cocktail glass.",Garnish with lemon zest.,https://iba-world.com/iba-cocktail/vesper/
Pisco Punch,60 ml Pisco; 22.5 ml Fresh Pineapple Juice; 15 ml Simple Syrup; 15 ml Fresh Lemon Juice; 30 ml Dry White Wine; 3 pcs Cloves,"Gentle mash the simple syrup with the cloves, add the remaining ingredients except the wine.
Shake vigorously and double strain into a large goblet.
Add the wine on top and gently stir.",N/A,https://iba-world.com/iba-cocktail/pisco-punch/
Hanky Panky,45 ml London Dry Gin; 45 ml Sweet Red Vermouth; 7.5 ml Fernet,"Pour all ingredients into mixing glass with ice cubes. Stir well.
Strain into chilled cocktail glass.",Orange zest.,https://iba-world.com/iba-cocktail/hanky-panky/
Mai-Tai,30 ml Amber Jamaican Rum; 30 ml Martinique Molasses Rhum*; 15 ml Orange Curacao; 15 ml Orgeat Syrup (Almond); 30 ml Fresh Squeezed Lime Juice; 7.5 ml Simple Syrup,"Add all ingredients into a shaker with ice.
Shake and pour into a double rocks glass or an highball glass.
* The Martinique molasses rum used by Trader Vic was not an Agricole Rhum but a type of “rummy” from molasses.","Garnish with pineapple spear, mint leaves and lime peel.",https://iba-world.com/iba-cocktail/mai-tai/
Margarita,50 ml Tequila 100% Agave; 20 ml Triple Sec; 15 ml Freshly Squeezed Lime Juice,"Add all ingredients into a shaker with ice.
Shake and strain into a chilled cocktail glass.",Half salt rim (Optional).,https://iba-world.com/iba-cocktail/margarita/
Espresso Martini,50 ml Vodka; 30 ml Kahlúa; 10 ml Sugar Syrup; 1 strong Espresso,"Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",3 coffee beans,https://iba-world.com/iba-cocktail/espresso-martini/
Paper Plane,30 ml Bourbon Whiskey; 30 ml Amaro Nonino; 30 ml Aperol; 30 ml Fresh Lemon Juice,"Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",N/A,https://iba-world.com/iba-cocktail/paper-plane/
Sidecar,50 ml Cognac; 20 ml Triple Sec; 20 ml Fresh Lemon Juice,"Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",N/A,https://iba-world.com/iba-cocktail/sidecar/
Champagne Cocktail,90 ml Chilled Champagne; 10 ml Cognac; 2 dashes Angostura bitters; Few drops of Grand Marnier (optional); 1 sugar cube,"Place the sugar cube with 2 dashes of bitters in a large Champagne glass, add the cognac.
Pour gently chilled Champagne.",Garnish with orange zest and maraschino cherry.,https://iba-world.com/iba-cocktail/champagne-cocktail/
Mojito,45 ml White Cuban Ron; 20 ml  Fresh Lime Juice; 6 pcs Mint Sprigs; 2 tsp White Cane Sugar; Soda Water,"Mix mint springs with sugar and lime juice.
Add splash of soda water and fill the glass with ice.
Pour the rum and top with soda water. Light stir to involve all ingredients.",Garnish with sprigs of mint and slice of lime.,https://iba-world.com/iba-cocktail/mojito/
Paloma,50 ml 100% Agave Tequila; 5 ml Fresh lime; A pinch of Salt; 100 ml Pink Grapefruit Soda,"Poor the tequila into a highball glass, squeeze the lime juice.
Add ice and salt, fill up pink grapefruit soda.
Stir gently.",Garnish with a slice of lime.,https://iba-world.com/iba-cocktail/paloma/
Americano,30 ml Bitter Campari; 30 ml Sweet Red Vermouth; A splash of Soda Water,"Mix the ingredients directly in an old fashioned glass filled with ice cubes.
Add a splash of Soda Water. Stir gently.",Garnish with half orange slice and a lemon zest.,https://iba-world.com/iba-cocktail/americano/
Clover Club,45 ml Gin; 15 ml Raspberry Syrup; 15 ml Fresh Lemon Juice; Few Drops of Egg White,"Pour all ingredients into cocktails shaker, shake well with ice, strain into chilled cocktail glass.",Fresh raspberries.,https://iba-world.com/iba-cocktail/clover-club/
Gin Fizz,45 ml Gin; 30 ml Fresh Lemon Juice; 10 ml Simple Syrup; Splash of Soda Water,"Shake all ingredients with ice except soda water.
Pour into thin tall Tumbler glass , top with a splash soda water.
NOTE:Serve without ice.","Garnish with lemon slice, optional lemon zest.",https://iba-world.com/iba-cocktail/gin-fizz/
Chartreuse Swizzle,45 ml Green Chartreuse; 30 ml Fresh Pineapple Juice; 22.5 ml Fresh Lime Juice; 15 ml Falernum,"Pour all ingredients into a tall glass, add pebble ice.
With the help of a swizzle stick (or cocktail spoon) mix vigorously, complete by filling the glass with more pebble ice.",Garnish with mint leaves and grated nutmeg.,https://iba-world.com/iba-cocktail/chartreuse-swizzle/
Bee’s Knees,52.5 ml Dry Gin; 2 teaspoons Honey Syrup; 22.5 ml Fresh Lemon Juice; 22.5 ml Fresh Orange Juice,"Stir honey with lemon and orange juices until it dissolves, add gin and shake with ice. Strain into a chilled cocktail glass.",Optionally garnish with a lemon or orange zest.,https://iba-world.com/iba-cocktail/bees-knees/
IBA Tiki,30 ml Ron Profundo Havana Club; 30 ml Ron Smoky Havana Club; 15 ml Licor Amaretto; 5 ml Licor Frangelico; 5 drops Maraschino Luxardo; 30 ml Passion Fruit Puree; 90 Fresh Pineapple Juice; 30 Fresh Lime Juice; 1 pc Gengibre Slice,"In a cocktail shaker muddle a thin slice of Gengibre, Pour all other ingredients.
Shake vigorously with ice.
Strain into a chilled Tiki glass filled with pebbled ice.",Garnish with citruses and dehydrated pineapple slice.,https://iba-world.com/iba-cocktail/iba-tiki/
Lemon Drop Martini,30 ml Vodka; 20 ml Triple Sec; 15 ml Fresh Squeezed Lemon Juice,"Pour all ingredients into a shaker with ice.
Shake well and strain into a chilled cocktail glass.",N/A,https://iba-world.com/iba-cocktail/lemon-drop-martini/
Remember the Maine,60 ml Rye Whiskey; 22.5 ml Sweet Vermouth; 15 ml Cherry Brandy Luxardo; 7.5 ml Absinthe,"Pour the absinthe into a coupe glass and swirl to completely coat the inside.
Discard the absinthe and set the glass aside. Add the other ingredients to a mixing glass and fill it 3/4 full with ice. Stir until chilled, then strain into the glass rinsed with the absinthe.",Garnish with lemon zest.,https://iba-world.com/iba-cocktail/remember-the-maine/
Boulevardier,45 ml Bourbon or Rye Whiskey; 30 ml Bitter Campari; 30 ml Sweet Red Vermouth,"Pour all ingredients into mixing glass with ice cubes.
Stir well. Strain into chilled cocktail glass.","Garnish with a orange zest, optionally a lemon zest.",https://iba-world.com/iba-cocktail/boulevardier/
Porto Flip,15 ml Brandy; 45 ml Red Tawny Port Wine; 10 ml Egg Yolk,"Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",Sprinkle with fresh ground nutmeg.,https://iba-world.com/iba-cocktail/porto-flip/
Hemingway Special,60 ml Rum; 40 ml Grapefruit Juice; 15 ml Maraschino Luxardo; 15 ml Fresh Lime,"Pour all ingredients into a shaker with ice.
Shake well and strain into a large cocktail glass.",N/A,https://iba-world.com/iba-cocktail/hemingway-special/
Cuba Libre,50 ml White Rum; 120 ml Cola; 10 ml Fresh Lime Juice,Build all ingredients in a highball glass filled with ice.,Garnish with lime wedge.,https://iba-world.com/iba-cocktail/cuba-libre/
Garibaldi,45 ml Bitter Campari; 120 ml Freshly Squeezed Orange Juice,Build all ingredients in a highball glass filled with ice.,Garnish with an orange wedge.,https://iba-world.com/iba-cocktail/garibaldi/
Jungle Bird,45 ml Blackstrap rum; 22.5 ml Campari; 45 ml Pineapple juice; 15 ml Freshly Squeezed Lime juice; 15 ml Demerara sugar syrup,"Pour all ingredients into a shaker with ice and shake.
Strain into a rocks glass filled with ice.",Garnish with a pineapple wedge.,https://iba-world.com/iba-cocktail/jungle-bird/
Tipperary,50 ml Irish Whiskey; 25 ml Sweet Red Vermouth; 15 ml Green Chartreuse; 2 Dashes Angostura Bitters,"Pour all ingredients into mixing glass with ice cubes.
Stir well. Strain into chilled martini cocktail glass.",Garnish with a slice of orange.,https://iba-world.com/iba-cocktail/tipperary/
Alexander,30 ml Cognac; 30 ml Crème de Cacao (Brown); 30 ml Fresh Cream,"Pour all ingredients into cocktail shaker filled with ice cubes.
Shake and strain into a chilled cocktail glass.",Sprinkle fresh ground nutmeg on top.,https://iba-world.com/iba-cocktail/alexander/
Old Fashioned,45 ml Bourbon or Rye Whiskey; 1 Sugar Cube; Few Dashes Angostura Bitters; Few Dashes Plain Water,"Place sugar cube in old fashioned glass and saturate with bitter, add few dashes of plain water. Muddle until dissolved. Fill the glass with ice cubes and add whiskey.
Stir gently.","Garnish with orange slice or zest, and a cocktail cherry.",https://iba-world.com/iba-cocktail/old-fashioned/
Casino,40 ml Old Tom Gin; 10 ml MaraschinoLuxardo; 10 ml Fresh Lemon Juice; 2 Dashes Orange Bitters,"Pour all ingredients into cocktails shaker, shake well with ice, strain
into chilled rocks glass with ice.",Garnish with a lemon zest and a maraschino cherry.,https://iba-world.com/iba-cocktail/casino/
Daiquiri,60 ml White Cuban Ron; 20 ml Fresh Lime Juice; 2 Bar Spoons Superfine Sugar,"In a cocktail shaker add all ingredients. Stir well to dissolve the sugar.
Add ice and shake. Strain into chilled cocktail glass.",N/A,https://iba-world.com/iba-cocktail/daiquiri/
Bellini,100 ml Prosecco; 50 ml White Peach Puree,"Pour peach puree into the mixing glass with ice, add the Prosecco wine.
Stir gently and pour in a chilled flute glass.
NOTE:Puccini – Fresh Mandarin Orange Juice;Rossini – Fresh Strawberry Puree;Tintoretto –  Fresh Pomegranate Juice.",N/A.,https://iba-world.com/iba-cocktail/bellini/
Canchanchara,60 ml Cuban Aguardiente; 15 ml Fresh Lime Juice; 15 ml Raw Honey; 50 ml Water,"Mix honey with water and lime juice and spread the mixture on the bottom and sides of the glass.
Add cracked ice, and then the rum.
End by energetically stirring from bottom to top.",Garnish with a lime wedge.,https://iba-world.com/iba-cocktail/canchanchara/
Old Cuban,6/8 pcs Mint Leaves; 45 ml Aged Rum; 22.5 ml Fresh Lime Juice; 30 ml Simple Syrup; 2 Dashes Angostura Bitters; 60 ml Brut Champagne or Prosecco,"Pour all ingredients into cocktail shaker except the wine, shake well with ice, strain into chilled elegant cocktail glass.
Top up with the sparkling wine.",Garnish with mint springs.,https://iba-world.com/iba-cocktail/old-cuban/
Bramble,50 ml Gin; 25 ml Fresh Lemon Juice; 12.5 ml Sugar Syrup; 15 ml Crème de Mûre,"Pour all ingredients into cocktail shaker except the Crème de Mûre, shake well with ice, strain into chilled old fashioned glass filled with crushed ice, then pour the blackberry liqueur (Crème de Mûre) over the top of the drink, in a circular motion.",Garnish optionally with a lemon slice and blackberries.,https://iba-world.com/iba-cocktail/bramble/
Cosmopolitan,40 ml Vodka Citron; 15 ml Cointreau; 15 ml Fresh Lime Juice; 30 ml Cranberry Juice,"Add all ingredients into cocktail shaker filled with ice.
Shake well and strain into large cocktail glass.",Garnish with lemon twist.,https://iba-world.com/iba-cocktail/cosmopolitan/
Tuxedo,30 ml Old Tom Gin; 30 ml Dry Vermouth; 1/2 Bar Spoon Maraschino Luxardo; 1/4 Bar Spoon of Absinthe; 3 Dashes Orange Bitters,"Pour all ingredients into mixing glass with ice cubes. Stir well.
Strain into chilled martini cocktail glass.",Garnish with cherry and lemon zest.,https://iba-world.com/iba-cocktail/tuxedo/
Suffering Bastard,30 ml Cognac or Brandy; 30 ml Gin; 15 ml Fresh Lime Juice; 2 Dashes Angostura Bitters; Top up Ginger beer,"Pour all ingredients into cocktail shaker except the ginger beer, shake well with ice.
Pour unstrained into a Collins glass or in the original.
S. Bastard mug and top up with ginger beer.",Garnish with mint spring and optionally an orange slice as well.,https://iba-world.com/iba-cocktail/suffering-bastard/
Mint Julep,60 ml Bourbon Whiskey; 4 fresh Mint sprigs; 1 tsp Powdered Sugar; 2 tsp Water,"In Julep Stainless Steel Cup gently muddle the mint with sugar and water.
Fill the glass with cracked ice, add the Bourbon and stir well until the cup frosts.",Garnish with a mint sprig.,https://iba-world.com/iba-cocktail/mint-julep/
Sazerac,50 ml Cognac; 10 ml Absinthe; 1 Sugar Cube; 2 Dashes Peychaud’s Bitters,"Rinse a chilled old-fashioned glass with the absinthe, add crushed ice and set it aside. Stir the remaining ingredients over ice in a mixing glass.
Discard the ice and any excess absinthe from the prepared glass, strain the mixed drink into the glass.
NOTE:The original recipe changed after the American Civil War, Rye Whiskey substituted Cognac as it became hard to obtain.",Garnish with lemon zest.,https://iba-world.com/iba-cocktail/sazerac/
Tequila Sunrise,45 ml Tequila; 90 ml Fresh Orange Juice; 15 ml Grenadine Syrup,"Pour tequila and orange juice directly into highball glass filled with ice cubes.
Add the grenadine syrup to create chromatic effect (sunrise), do not stir.",Garnish with half orange slice or an orange zest.,https://iba-world.com/iba-cocktail/tequila-sunrise/
Planters Punch,45 ml Jamaican Rum; 15 ml Lime Juice; 30 ml Sugar Cane Juice,"Pour all ingredients directly in a small tumbler or a typical terracotta glass.
NOTE:Add dilution up to taste, it can be given by water, ice or fresh juices.",Garnish with orange zest.,https://iba-world.com/iba-cocktail/planters-punch/
Fernandito,50 ml Fernet Branca; Fill up with Cola,"Pour the Fernet Branca into a double old fashioned glass with ice, fill the glass up with Cola. Gently stir.",N/A,https://iba-world.com/iba-cocktail/fernandito/
Caipirinha,60 ml Cachaça; 1 Lime cut into small wedges; 4 Teaspoons White Cane Sugar,"Place lime and sugar into a double old fashioned glass and muddle gently.
Fill the glass with cracked ice and add Cachaça. Stir gently to involve ingredients.
Note:Caipiroska – Instead of Cachaça use Vodka;Caipirissima – Instead of Cachaça use Rum.Caipirão – Instead of Cachaça use Licor Beirão.",N/A,https://iba-world.com/iba-cocktail/caipirinha/
Grasshopper,20 ml Crème de Cacao (White); 20 ml Crème de Menthe (Green); 20 ml Fresh Cream,"Pour all ingredients into shaker filled with ice.
Shake briskly for few seconds. Strain into chilled cocktail glass.","N/A, optional mint leave.",https://iba-world.com/iba-cocktail/grasshopper/
Three Dots and a Dash,45 ml Rhum Martinique Agricole; 15 ml Blended Aged Rum; 7.5 ml Falernum; 7.5 ml Allspice Saint Elizabeth15 ml Fresh Lime Juice; 15 ml Fresh Orange juice; 15 ml Honey Syrup; 2 Dashes Angostura Bitters,"Pour all ingredients in a Blender with 12 ounces of crushed ice, flash blend, pour the drink into a footed copo glass.
Fill the glass with more crushed ice.",Garnish with three cherries and a rectangular chunk of pineapple.,https://iba-world.com/iba-cocktail/three-dots-and-a-dash/
French 75,30 ml Gin; 15 ml Fresh Lemon Juice; 15 ml Sugar Syrup; 60 ml Champagne,"Pour all the ingredients, except Champagne, into a shaker.
Shake well and strain into a Champagne flute.
Top up with Champagne.
Stir gently.",N/A,https://iba-world.com/iba-cocktail/french-75/
Last Word,22.5 ml Gin; 22.5 ml Green Chartreuse; 22.5 ml MaraschinoLuxardo; 22.5 ml Fresh Lime Juice,"Add all ingredients into a cocktail shaker.
Shake with ice and strain into a chilled cocktail glass.",N/A,https://iba-world.com/iba-cocktail/last-word/
French Connection,35 ml Cognac; 35 ml Amaretto,"Pour all ingredients directly into old fashioned glass filled with ice cubes.
Stir gently.",N/A,https://iba-world.com/iba-cocktail/french-connection/
Aviation,45 ml Gin; 15 ml MaraschinoLuxardo; 15 ml Fresh Lemon Juice; 1 Bar Spoon Crème de Violette,"Add all ingredients into a cocktail shaker.
Shake with cracked ice and strain into a chilled cocktail glass.",Optional Maraschino Cherry.,https://iba-world.com/iba-cocktail/aviation/
Zombie,45 ml Jamaican dark rum; 45 ml Gold Puerto Rican rum; 30 ml Demerara Rum; 20 ml Fresh lime juice; 15 ml Falernum; 15 ml Donn’s Mix*; 1 tsp Grenadine syrup; 1 dash Angostura bitters; 6 drops Pernod,"Add all ingredients into an electric blender with 170 grams of cracked ice.
With pulse bottom blend for a few seconds. Serve in a tall tumbler glass.
Note:*Donn’s Mix: 2 parts of fresh yellow grapefruit and 1 part of cinnamon syrup",Garnish with mint leaves.,https://iba-world.com/iba-cocktail/zombie/
Rabo de Galo,60 ml Cachaca; 20 ml Sweet Vermouth Cinzano Rosso; 15 ml Cynar; 2 Drops Angostura (Optional),"Combine all the ingredients into a rocks glass, add ice and stir briefly.",Garnish with a orange twist.,https://iba-world.com/iba-cocktail/rabo-de-galo/
Illegal,30 ml Espadin Mezcal; 15 ml Jamaica Overproof White Rum; 15 ml Falernum; 1 Bar Spoon Maraschino Luxardo; 22.5 ml Fresh Lime Juice; 15 ml Simple Syrup; Few Drops of Egg White (Optional),"Pour all ingredients into the shaker. Shake vigorously with ice.
Strain into a chilled cocktail glass, or “on the rocks” in a traditional clay or terracotta mug.",N/A,https://iba-world.com/iba-cocktail/illegal/
Dry Martini,60 ml Gin; 10 ml Dry Vermouth,"Pour all ingredients into mixing glass with ice cubes. Stir well.
Strain into chilled martini cocktail glass.","Squeeze oil from lemon peel onto the drink, or garnish with a green olives if requested.",https://iba-world.com/iba-cocktail/dry-martini/
Cardinale,40 ml Gin; 20 ml Dry Vermouth; 10 ml Bitter Campari,"Pour all ingredients into mixing glass with ice cubes. Stir well.
Strain into chilled cocktail glass.",Garnish with a lemon zest.,https://iba-world.com/iba-cocktail/cardinale/
Porn Star Martini,50 ml Vanilla Vodka; 20 ml Passion Fruit Liqueur; 50 ml Passion Fruit Puree; 2 Bar Spoons Vanilla Sugar; 50 ml Champagne to serve on the side,"Pour all ingredients into cocktail shaker, shake well with ice, double strain into a large chilled cocktail glass.
Accompany with a shot of champagne.",Garnish with passion fruit cup and sugar.,https://iba-world.com/iba-cocktail/porn-star-martini/
Negroni,30 ml Gin; 30 ml Bitter Campari; 30 ml Sweet Red Vermouth,"Pour all ingredients directly into chilled old fashioned glass filled with ice.
Stir gently.",Garnish with half orange slice.,https://iba-world.com/iba-cocktail/negroni/
